City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,plastun,44.7561,136.2939,17.89,71,100,1.78,RU,1726180921
182,mount pearl,47.5166,-52.7813,15.74,75,20,3.09,CA,1726180923
183,ilulissat,69.2167,-51.1,3.01,70,0,0.0,GL,1726180924
184,vila velha,-20.3297,-40.2925,23.97,83,0,6.69,BR,1726180793
185,santo domingo de los colorados,-0.25,-79.15,23.95,79,90,0.53,EC,1726180926
186,mineros,-17.1167,-63.2333,30.05,28,3,2.32,BO,1726180927
187,miri,4.4148,114.0089,24.08,94,40,1.54,MY,1726180930
188,aqaba,29.5267,35.0078,31.92,27,0,5.14,JO,1726180931
189,tagab,34.855,69.6492,19.14,23,0,1.48,AF,1726180932
190,sarandi del yi,-33.35,-55.6333,9.77,79,99,5.88,UY,1726180933
191,brokopondo,4.75,-55.1667,30.32,54,22,2.16,SR,1726180934
192,georgetown,5.4112,100.3354,25.96,93,40,3.13,MY,1726180935
193,san patricio,28.017,-97.5169,32.97,48,33,5.0,US,1726180936
194,varzea da palma,-17.5981,-44.7308,25.56,29,0,1.03,BR,1726180938
195,monaghan,54.25,-6.9667,4.26,88,6,1.85,IE,1726180939
196,geraldton,-28.7667,114.6,15.23,63,0,3.6,AU,1726180940
197,namdrik,5.5994,168.1028,29.04,65,84,3.8,MH,1726180941
198,kodiak,57.79,-152.4072,15.73,59,0,12.35,US,1726180826
199,pizarro,4.9533,-77.366,26.63,85,100,2.78,CO,1726180943
200,kingston,17.997,-76.7936,28.53,89,40,3.09,JM,1726180945
201,iquique,-20.2208,-70.1431,15.49,82,54,1.27,CL,1726180916
202,klyuchi,52.2667,79.1667,6.23,95,45,3.74,RU,1726180948
203,badagry,6.4167,2.8833,24.55,93,55,3.08,NG,1726180949
204,alpena,45.0617,-83.4327,27.18,79,0,3.09,US,1726180950
205,polyarnyy,69.1989,33.4478,13.78,92,36,5.05,RU,1726180952
206,sitangkai,4.6628,119.3928,28.82,78,98,9.71,PH,1726180953
207,bandon,51.7469,-8.7425,8.77,83,35,2.22,IE,1726180954
208,belyye berega,53.2085,34.6641,19.84,33,78,4.52,RU,1726180955
209,kimbe,-5.5502,150.1429,27.34,86,100,1.54,PG,1726180957
210,otjimbingwe,-22.35,16.1333,18.23,23,0,1.0,NA,1726180959
211,box elder,41.5005,-112.8764,19.48,31,84,6.12,US,1726180960
212,neiafu,-18.65,-173.9833,27.38,69,40,7.2,TO,1726180961
213,koniecpol,50.7747,19.689,10.64,90,100,4.05,PL,1726180962
214,clewiston,26.7542,-80.9337,29.68,73,100,1.67,US,1726180664
215,praia da vitoria,38.7333,-27.0667,23.2,83,20,2.35,PT,1726180964
216,maralal,1.0968,36.698,15.13,64,94,2.06,KE,1726180966
217,korla,41.7597,86.1469,18.3,42,0,4.8,CN,1726180808
218,colonia menno,-22.3667,-59.8167,26.91,35,3,3.64,PY,1726180968
219,kawm umbu,24.4767,32.9463,33.96,20,0,3.94,EG,1726180969
220,zaozersk,69.4005,32.4476,14.37,88,25,3.74,RU,1726180970
